Centroid_Bi,Centroid_Uni,Event_Features,FirstRel_Doc,FreqWord_Bi,FreqWord_Uni,Label,SigTerm_Bi,SigTerm_Uni,doc_first,entity_score,length,position,quote
1.73205080757,1.99401587831,1,0.0,0,1,0,3,4,0,0.0,7,0,0
4.12310562562,4.1939039394,2,1.0,2,5,0,17,18,1,5.0,26,1,1
2.99647625534,3.07818551083,7,0.07453559925,2,5,0,9,10,0,2.33333333333,13,0,2
3.74002687902,3.79890974843,5,0.060858061945,1,3,0,14,15,0,2.0,21,0,0
4.89897948557,4.85289695027,17,0.136082763488,0,10,0,24,24,0,3.0,41,0,4
2.6435887393,2.77266083261,4,0.0833333333333,1,2,1,7,8,0,0.0,14,0,0
2.0,2.23116343652,7,0.0,0,4,0,4,5,0,1.0,14,0,6
2.99803611294,3.08372539143,1,0.07453559925,2,4,0,9,10,0,0.0,17,0,6
3.0,2.81366811549,1,0.068041381744,0,2,0,9,9,0,0.0,26,0,2
5.38516480713,5.34417232223,4,0.125,3,6,0,29,29,0,3.0,54,0,6
2.82637030234,2.93196362725,7,0.0,2,5,0,8,9,0,1.0,18,0,0
2.44948974278,2.64097056454,1,0.0890870806375,0,3,0,6,7,0,0.0,20,0,0
2.82842712475,2.9953522858,2,0.0,1,2,0,8,9,0,1.0,20,0,0
3.74002687902,3.54235078477,1,0.0,2,6,0,14,14,0,1.0,29,0,2
2.64575131106,2.76376483177,1,0.0833333333333,0,4,0,7,8,0,0.0,18,0,0
4.1216100402,4.19409154346,5,0.0555555555556,3,3,0,17,18,0,2.0,34,0,0
4.47074686594,4.42075507575,6,0.196589274873,3,8,0,20,20,0,4.33333333333,33,0,6
4.35618141438,4.23290496545,4,0.050251890763,4,8,0,19,19,0,2.0,32,0,0
3.73553106063,3.81185890996,9,0.12171612389,3,7,0,14,15,0,1.33333333333,27,0,0
1.0,1.41421356237,2,0.0,0,0,0,1,2,0,0.0,8,0,0
2.0,2.22878274173,1,0.0,0,1,0,4,5,0,0.0,9,0,0
1.41421356237,1.72914334088,1,0.0,1,0,1,2,3,0,0.0,6,0,0
3.86702088961,3.92723045632,4,0.117851130198,4,8,0,15,16,0,1.0,28,0,0
2.99803611294,3.10145348385,3,0.07453559925,2,4,0,9,10,0,0.0,18,0,0
3.73443847453,3.80809962211,5,0.0,4,7,0,14,15,0,2.0,28,0,3
1.73205080757,1.95954999924,1,0.0,0,1,1,3,4,0,0.0,15,0,0
4.56525757034,4.49338426591,8,1.0,3,8,0,21,21,1,4.0,34,1,0
2.6180331848,2.76922267971,3,0.144337567297,2,3,0,7,8,0,0.0,14,0,0
3.31540424969,3.43364707133,2,0.235702260396,1,4,0,11,12,0,2.0,24,0,0
2.82704092937,2.97179425444,3,0.204124145232,1,3,0,8,9,0,0.0,15,0,0
3.46410161514,3.59819042898,6,0.0,1,1,0,12,13,0,0.0,25,0,0
3.31540424969,3.42322847734,4,0.176776695297,1,5,0,11,12,0,1.0,24,0,0
1.41421356237,1.72642801383,1,0.117851130198,0,2,0,2,3,0,0.0,11,0,0
4.34145759707,4.27300511818,7,0.130558241967,1,6,0,19,19,0,5.0,36,0,0
3.59346953377,3.56586597094,15,0.234146452895,7,8,1,13,13,0,2.5,30,0,0
2.0,2.23119677576,1,0.0,0,0,0,4,5,0,0.0,13,0,0
2.44948974278,2.60095080155,1,0.077151674981,0,3,0,6,7,0,0.0,13,0,0
3.439482217,3.28410980007,12,0.105409255339,4,5,0,12,12,0,1.0,19,0,0
2.82842712475,2.9650789633,1,0.068041381744,0,1,0,8,9,0,0.0,19,0,0
2.82842712475,2.99252920949,3,0.068041381744,0,1,0,8,9,0,3.0,14,0,0
3.60555127546,3.68556218071,1,0.109108945118,0,3,0,13,14,0,0.0,28,0,0
3.85345525163,3.934468076,10,0.204124145232,1,6,0,15,16,0,1.0,37,0,0
2.64575131106,2.81935606041,6,0.0,1,1,1,7,8,0,3.0,23,0,2
4.45511997121,4.37520529787,9,0.127688479614,1,8,0,20,20,0,5.0,39,0,0
2.0,2.23444241679,2,0.0,0,0,0,4,5,0,0.0,11,0,0
